"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name","name"
"8363","7750",NA,0.122,0.259,0.122,0.2174,NA,"ZMYM2","H4C11","ZMYM2 - H4C11"
"3021","7750",NA,0.0784,0.152,0.0784,0.1455,NA,"ZMYM2","H3-3B","ZMYM2 - H3-3B"
"3020","7750",NA,0.1417,0.2483,0.1417,0.2482,NA,"ZMYM2","H3-3A","ZMYM2 - H3-3A"
"3008","7750",NA,0.0562,0.1237,0.0562,0.1064,NA,"ZMYM2","H1-4","ZMYM2 - H1-4"
"7552","7704",NA,0,0,0,0,NA,"ZBTB16","ZNF711","ZBTB16 - ZNF711"
"9640","7704",NA,0,0,0,0,NA,"ZBTB16","ZNF592","ZBTB16 - ZNF592"
"10771","7704",NA,0,0,0,0,NA,"ZBTB16","ZMYND11","ZBTB16 - ZMYND11"
"9203","7704",NA,0.0132,0.026,0.0132,0.026,NA,"ZBTB16","ZMYM3","ZBTB16 - ZMYM3"
"7750","7704",NA,0,0,0,0,NA,"ZBTB16","ZMYM2","ZBTB16 - ZMYM2"
"9555","7704",NA,0,0,0,0,NA,"ZBTB16","MACROH2A1","ZBTB16 - MACROH2A1"
"8294","7704",NA,0,0,0,0,NA,"ZBTB16","H4C9","ZBTB16 - H4C9"
"8367","7704",NA,0,0,0,0,NA,"ZBTB16","H4C5","ZBTB16 - H4C5"
"8364","7704",NA,0,0,0,0,NA,"ZBTB16","H4C3","ZBTB16 - H4C3"
"8363","7704",NA,0,0,0,0,NA,"ZBTB16","H4C11","ZBTB16 - H4C11"
"3021","7704",NA,0,0,0,0,NA,"ZBTB16","H3-3B","ZBTB16 - H3-3B"
"3020","7704",NA,0,0,0,0,NA,"ZBTB16","H3-3A","ZBTB16 - H3-3A"
"3008","7704",NA,0,0,0,0,NA,"ZBTB16","H1-4","ZBTB16 - H1-4"
"7552","7528",NA,0.04,0.1382,0.04,0.0769,NA,"YY1","ZNF711","YY1 - ZNF711"
"9640","7528",NA,0.0308,0.0947,0.0308,0.0597,NA,"YY1","ZNF592","YY1 - ZNF592"
"10771","7528",NA,0.0465,0.1375,0.0465,0.0889,NA,"YY1","ZMYND11","YY1 - ZMYND11"
"9203","7528",NA,0.0667,0.1432,0.0667,0.125,NA,"YY1","ZMYM3","YY1 - ZMYM3"
"7750","7528",NA,0.1243,0.2285,0.1243,0.2211,NA,"YY1","ZMYM2","YY1 - ZMYM2"
"7704","7528",NA,0.0065,0.0153,0.0065,0.0129,NA,"YY1","ZBTB16","YY1 - ZBTB16"
"9555","7528",NA,0,0,0,0,NA,"YY1","MACROH2A1","YY1 - MACROH2A1"
"8294","7528",NA,0.0805,0.1697,0.0805,0.1491,NA,"YY1","H4C9","YY1 - H4C9"
"8367","7528",NA,0.1137,0.2043,0.1137,0.2043,NA,"YY1","H4C5","YY1 - H4C5"
"8364","7528",NA,0.0612,0.1356,0.0612,0.1154,NA,"YY1","H4C3","YY1 - H4C3"
"8363","7528",NA,0.0526,0.14,0.0526,0.1,NA,"YY1","H4C11","YY1 - H4C11"
"3021","7528",NA,0.0128,0.0294,0.0128,0.0253,NA,"YY1","H3-3B","YY1 - H3-3B"
"3020","7528",NA,0.0819,0.158,0.0819,0.1514,NA,"YY1","H3-3A","YY1 - H3-3A"
"3008","7528",NA,0.0677,0.172,0.0677,0.1268,NA,"YY1","H1-4","YY1 - H1-4"
"7552","7531",NA,0,0,0,0,NA,"YWHAE","ZNF711","YWHAE - ZNF711"
