"disease_ontology_id_version","ndd_phenotype"
"OMIM:312870",1
"OMIM:615501",1
"OMIM:615752",1
"OMIM:300699",1
"OMIM:611092",1
"OMIM:245570",1
"OMIM:613970",1
"OMIM:614831",1
"OMIM:266130",1
"OMIM:231900",0
"OMIM:614830",1
"OMIM:616395",1
"OMIM:253220",1
"OMIM:610738",1
"OMIM:309801",1
"OMIM:309541",1
"OMIM:300882",1
"OMIM:613926",1
"OMIM:613925",1
"OMIM:615516",1
"OMIM:182230_6",1
"OMIM:253270",1
"OMIM:601536_1",1
"OMIM:276710",1
"OMIM:140350",0
"OMIM:300322",1
"OMIM:300323",0
"OMIM:218040_2",1
"OMIM:163200_1",1
"OMIM:612370",0
"OMIM:602541",1
"OMIM:309900",1
"OMIM:607014",1
"OMIM:607015",1
"OMIM:607016",1
"OMIM:614231",1
"OMIM:608747",1
"OMIM:308300",1
"OMIM:300291",0
"OMIM:300143",1
"OMIM:610156",1
"OMIM:213300",1
"OMIM:309530",1
"OMIM:614643",1
"OMIM:613730",1
"OMIM:610443",1
"OMIM:603736",1
"OMIM:606170",1
"OMIM:618856",1
"OMIM:610582",0
"OMIM:601820_1",0
"OMIM:612292",1
"OMIM:614959",1
"OMIM:615005",1
"OMIM:611726",1
"OMIM:300534",1
"OMIM:300867",1
"OMIM:609460",1
"OMIM:152950",1
"OMIM:200990_1",1
"OMIM:614120",0
"OMIM:609942",1
"OMIM:615278",1
"MONDO:0001071",1
"OMIM:304100",1
"OMIM:236792",1
"OMIM:607855",1
"OMIM:614115",1
"OMIM:300257",1
"OMIM:608840",1
"OMIM:613154",1
"OMIM:615071",1
"OMIM:606593",1
"OMIM:220111",1
"OMIM:615994",1
"OMIM:301031",1
"OMIM:300853",0
"OMIM:614202",1
"OMIM:248500",1
"OMIM:248510",1
"MONDO:0700096_1",1
"OMIM:615279",1
"OMIM:115150",1
"OMIM:250850_4",1
"OMIM:156200",1
"OMIM:210200",1
"OMIM:210210",1
"OMIM:252650",1
"OMIM:251200",1
"OMIM:312750_1",1
"OMIM:300673",1
"OMIM:300260",1
"OMIM:300055",1
"OMIM:305450",1
"OMIM:309520",1
"OMIM:613668",1
"OMIM:614249",1
"OMIM:614976",1
"OMIM:212066",1
"OMIM:300000",1
"OMIM:605231",1
"OMIM:236700",1
"OMIM:605130",1
"OMIM:147920",1
"OMIM:248360",1
"OMIM:251100",1
"MONDO:0700096_1",1
"OMIM:277400_1",1
"OMIM:252150",1
"OMIM:252160",1
"OMIM:609180",1
"OMIM:615219",1
"OMIM:234050",1
"OMIM:611719",1
"MONDO:0044970",1
"MONDO:0044970",1
"MONDO:0044970",1
"MONDO:0044970",1
"MONDO:0044970",1
"OMIM:250940",1
"OMIM:236270",1
"MONDO:0044970",1
"MONDO:0044970",1
"OMIM:300438",1
"OMIM:251000",1
"OMIM:610377",1
"OMIM:260920",0
"OMIM:175900",0
"OMIM:164280",1
"OMIM:214450",1
"OMIM:300855_1",1
"OMIM:609241_1",1
"OMIM:609242",1
"OMIM:252920",1
"OMIM:251260",1
"OMIM:614019",1
"OMIM:310600",1
"OMIM:305390_1",0
"OMIM:301020",1
"OMIM:618236",1
"OMIM:618244",1
"OMIM:618226",1
"OMIM:618228",1
"OMIM:618230",1
"OMIM:252010",1
"OMIM:618224",1
"OMIM:618222",1
"OMIM:618225",1
"OMIM:256550_1",1
"OMIM:162200",1
"OMIM:601321",1
"OMIM:193520",1
"OMIM:162210",0
"OMIM:302350",1
"OMIM:302200",0
"OMIM:122470",1
"OMIM:610978",1
"OMIM:118700",0
"OMIM:300425",1
"OMIM:300495_1",1
"OMIM:607115",1
"OMIM:191900",0
"OMIM:120100",0
"OMIM:609583",1
"OMIM:256100",0
"OMIM:266900",0
"OMIM:614325",1
"OMIM:117550",1
"OMIM:300831",1
"OMIM:308050",0
"OMIM:611091",1
"OMIM:256800",1
"OMIM:251290",1
"OMIM:309000",1
"OMIM:300555",1
"OMIM:311200",1
"OMIM:300804",1
"OMIM:300209",1
"OMIM:224690",1
"OMIM:615009",1
"OMIM:607432_1",1
"OMIM:300558",1
"OMIM:234200",1
"MONDO:0700096_1",1
"OMIM:120430_1",1
"OMIM:106210_1",1
"OMIM:165550",0
"OMIM:136520",0
"OMIM:148190",0
"OMIM:120200",0
"OMIM:604229",0
"OMIM:266150",1
"OMIM:300088",1
"OMIM:210720",1
"OMIM:312170",1
"OMIM:614651",1
"OMIM:614652",1
"OMIM:170100",1
"OMIM:214100",1
"OMIM:601539",1
"OMIM:614870",1
"OMIM:614871",1
"OMIM:614920",1
"OMIM:614859",1
"OMIM:266510",1
"OMIM:614883",1
"OMIM:614885",1
"OMIM:614872",1
"OMIM:614873",1
"OMIM:214110",1
"OMIM:202370",1
"OMIM:614862",1
"OMIM:614863_2",1
"OMIM:215100",1
"OMIM:614879",1
"OMIM:300653",1
"OMIM:301900",1
"OMIM:300263",1
"OMIM:601815",1
"OMIM:614080",1
"OMIM:614749",1
"OMIM:239300",1
"OMIM:602501",1
"OMIM:615108",0
"OMIM:603387",1
"OMIM:312080",1
"OMIM:312920",0
"OMIM:212065",1
"OMIM:613179",1
"OMIM:614932",1
"OMIM:614934",0
"OMIM:614813",1
"OMIM:607694",1
"OMIM:614381",1
"OMIM:253280",1
"OMIM:613151",1
"OMIM:613157",0
"OMIM:236670",1
"OMIM:613155",1
"OMIM:609308",0
"OMIM:613150",1
"OMIM:613156",1
"OMIM:613158",0
"OMIM:305600",1
"MONDO:0700096_1",1
"OMIM:309500",1
"OMIM:239500",1
"OMIM:301835",1
"OMIM:300661_2",0
"OMIM:311070",0
"OMIM:304500",0
"OMIM:249500",1
"OMIM:605309",1
"OMIM:158350_1",0
"OMIM:610828",1
"OMIM:163950",1
"OMIM:151100",1
"OMIM:156250",0
"OMIM:600462",1
"OMIM:225060_1",1
"OMIM:612940",1
"OMIM:614438",1
"OMIM:614222",1
"OMIM:607624",1
"OMIM:300271",1
"OMIM:600118",1
"OMIM:212720",1
"OMIM:614225",1
"MONDO:0001071",1
"OMIM:614701",1
"OMIM:611553",1
"OMIM:611554",1
"OMIM:182290_1",1
"OMIM:612079",1
"OMIM:257320",1
"OMIM:612015",1
"OMIM:614922",1
"OMIM:607095",1
"OMIM:250250",0
"OMIM:250460",0
"OMIM:610333",1
"OMIM:610181",1
"OMIM:610329",1
"OMIM:226750",1
"OMIM:611560",1
"OMIM:619113",1
"OMIM:611561",0
"OMIM:303600",1
"OMIM:300844",1
"OMIM:107480_2",1
"OMIM:612313",1
"OMIM:607330",1
"OMIM:607208",1
"OMIM:609634",0
"OMIM:604403_2",0
"OMIM:613721",1
"MONDO:0001071",1
"OMIM:607745",0
"OMIM:614306",1
"OMIM:614558",1
"OMIM:604377",1
"MONDO:0044970",1
"OMIM:252011",1
"OMIM:613642",0
"OMIM:614165",0
"OMIM:619224",1
"OMIM:115310",0
"OMIM:171300_1",0
"OMIM:606864_1",0
"OMIM:606764_1",0
"OMIM:614739",1
"OMIM:269150",1
"OMIM:616078",1
"OMIM:613436",1
"OMIM:606232",1
"OMIM:142945",1
"OMIM:269160_1",1
"OMIM:611638",0
"OMIM:147250",0
"OMIM:607721",1
"MONDO:0001071",1
"OMIM:248800",1
"OMIM:157170",1
"OMIM:269160_2",1
"OMIM:182212",1
"OMIM:218000",1
"OMIM:300523",1
"OMIM:269920",1
"OMIM:604369",1
"OMIM:238970",1
"OMIM:609304",1
"OMIM:612126",1
"OMIM:606777_1",1
"OMIM:601042",1
"OMIM:614482",1
"OMIM:266265",1
"OMIM:604278",1
"OMIM:300352",1
"OMIM:300243",1
"OMIM:139210",1
