"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name"
472,57492,3.671,0.442,0.1692,3.7677,0.1991,0.1195,"ARID1B","ATM"
472,23394,3.6905,0.4227,0.1629,3.8214,0.1957,0.1174,"ADNP","ATM"
472,171023,3.5707,0.426,0.1671,3.6685,0.194,0.1164,"ASXL1","ATM"
472,51412,3.7463,0.434,0.1821,3.8731,0.2043,0.1226,"ACTL6B","ATM"
472,196528,3.7239,0.4086,0.1619,3.8284,0.1944,0.1166,"ARID2","ATM"
472,60,3.6266,0.4098,0.1578,3.7532,0.1899,0.1141,"ACTB","ATM"
472,80816,3.6343,0.4233,0.1561,3.7463,0.1901,0.1141,"ASXL3","ATM"
472,55252,3.6194,0.4159,0.1644,3.7313,0.1948,0.1169,"ASXL2","ATM"
472,8289,3.6791,0.4159,0.1687,3.791,0.1963,0.1178,"ARID1A","ATM"
472,55870,3.597,0.404,0.1554,3.7313,0.1902,0.1141,"ASH1L","ATM"
545,80816,3.6698,0.4356,0.16,3.7264,0.1964,0.1178,"ASXL3","ATR"
545,196528,3.5437,0.4304,0.1641,3.6214,0.1965,0.1179,"ARID2","ATR"
545,23394,3.6726,0.4288,0.1625,3.7381,0.1984,0.119,"ADNP","ATR"
545,55252,3.5595,0.4406,0.1628,3.6905,0.1966,0.1179,"ASXL2","ATR"
545,55870,3.6071,0.426,0.158,3.7024,0.1937,0.1162,"ASH1L","ATR"
545,60,3.5759,0.4245,0.1623,3.6835,0.1953,0.1173,"ACTB","ATR"
545,1822,3.6421,0.4364,0.1668,3.7579,0.1954,0.1172,"ATN1","ATR"
545,171023,3.6359,0.4195,0.1648,3.7391,0.194,0.1164,"ASXL1","ATR"
545,51412,3.6071,0.4415,0.1753,3.6667,0.2016,0.121,"ACTL6B","ATR"
545,472,3.6716,0.4316,0.1733,3.7612,0.1977,0.1186,"ATM","ATR"
545,57492,3.471,0.4191,0.1626,3.5161,0.1897,0.1138,"ARID1B","ATR"
545,8289,3.6629,0.4376,0.1768,3.7303,0.199,0.1194,"ARID1A","ATR"
546,196528,3.6076,0.4281,0.1627,3.6709,0.1971,0.1183,"ARID2","ATRX"
546,23394,3.6371,0.4137,0.1551,3.7426,0.1896,0.1139,"ADNP","ATRX"
546,171023,3.4852,0.3955,0.1578,3.5696,0.1858,0.1116,"ASXL1","ATRX"
546,8289,3.6414,0.4298,0.1668,3.7257,0.1961,0.1178,"ARID1A","ATRX"
546,51412,3.616,0.4187,0.1683,3.7257,0.1943,0.1167,"ACTL6B","ATRX"
546,60,3.4852,0.4213,0.1505,3.5738,0.1861,0.1119,"ACTB","ATRX"
546,55252,3.6329,0.4269,0.1581,3.6962,0.1961,0.1177,"ASXL2","ATRX"
546,57492,3.5992,0.4303,0.162,3.7004,0.1946,0.1168,"ARID1B","ATRX"
546,1822,3.5823,0.4135,0.154,3.7342,0.1928,0.1158,"ATN1","ATRX"
546,472,3.7131,0.432,0.1654,3.8734,0.1991,0.1196,"ATM","ATRX"
546,545,3.6118,0.4173,0.1595,3.7131,0.193,0.1159,"ATR","ATRX"
546,55870,3.5992,0.4215,0.1553,3.6793,0.1895,0.1137,"ASH1L","ATRX"
546,80816,3.6751,0.4182,0.155,3.7426,0.1919,0.1152,"ASXL3","ATRX"
672,545,3.512,0.4075,0.152,3.6084,0.185,0.111,"ATR","BRCA1"
672,196528,3.6988,0.4242,0.1562,3.8072,0.1921,0.1152,"ARID2","BRCA1"
672,8289,3.5904,0.4296,0.1638,3.6928,0.1938,0.1163,"ARID1A","BRCA1"
672,1822,3.5783,0.4107,0.1541,3.7048,0.1891,0.1135,"ATN1","BRCA1"
672,63035,3.6024,0.4344,0.1512,3.7229,0.1933,0.116,"BCORL1","BRCA1"
672,2186,3.5482,0.4117,0.1441,3.6747,0.1849,0.111,"BPTF","BRCA1"
672,55252,3.6265,0.4271,0.1542,3.747,0.1934,0.116,"ASXL2","BRCA1"
672,80816,3.5241,0.418,0.1467,3.6145,0.1899,0.114,"ASXL3","BRCA1"
672,23394,3.4226,0.4009,0.1485,3.5357,0.1819,0.1092,"ADNP","BRCA1"
672,546,3.4852,0.4032,0.1482,3.5823,0.1847,0.1109,"ATRX","BRCA1"
672,171023,3.3859,0.3913,0.1499,3.5,0.1806,0.1083,"ASXL1","BRCA1"
672,8314,3.6491,0.4183,0.1598,3.7135,0.1924,0.1155,"BAP1","BRCA1"
672,57492,3.4337,0.4076,0.1523,3.5361,0.1866,0.112,"ARID1B","BRCA1"
672,51412,3.5602,0.4187,0.1613,3.6566,0.1915,0.1149,"ACTL6B","BRCA1"
672,472,3.6928,0.4279,0.1604,3.8193,0.1937,0.1162,"ATM","BRCA1"
672,55870,3.6446,0.4306,0.1577,3.7711,0.1979,0.1187,"ASH1L","BRCA1"
672,54880,3.4301,0.4099,0.1446,3.5181,0.1829,0.1097,"BCOR","BRCA1"
672,60,3.3253,0.3836,0.1444,3.4157,0.1753,0.1053,"ACTB","BRCA1"
672,9031,3.5215,0.4257,0.155,3.629,0.1907,0.1144,"BAZ1B","BRCA1"
990,8314,3.6667,0.4325,0.1617,3.7602,0.1988,0.1193,"BAP1","CDC6"
990,254065,3.5469,0.4198,0.1567,3.6875,0.1918,0.1151,"BRWD3","CDC6"
990,8289,3.5281,0.4074,0.1523,3.5955,0.1823,0.1094,"ARID1A","CDC6"
990,51412,3.5949,0.429,0.1702,3.6962,0.1991,0.1194,"ACTL6B","CDC6"
990,55252,3.3594,0.4003,0.1526,3.4688,0.1819,0.1092,"ASXL2","CDC6"
990,23394,3.625,0.4282,0.1606,3.7024,0.1942,0.1165,"ADNP","CDC6"
990,196528,3.5049,0.436,0.1533,3.5631,0.1903,0.1142,"ARID2","CDC6"
990,2186,3.7467,0.4355,0.1604,3.8267,0.1962,0.1177,"BPTF","CDC6"
990,472,3.6045,0.4226,0.1686,3.7015,0.1955,0.1173,"ATM","CDC6"
990,57492,3.4129,0.4111,0.1451,3.5097,0.1839,0.1104,"ARID1B","CDC6"
990,55870,3.5312,0.4404,0.1626,3.6719,0.199,0.1194,"ASH1L","CDC6"
990,672,3.5542,0.4276,0.1567,3.6386,0.1925,0.1155,"BRCA1","CDC6"
990,545,3.5595,0.4322,0.1713,3.6786,0.1965,0.1179,"ATR","CDC6"
990,1822,3.6,0.4349,0.1555,3.6421,0.1996,0.1197,"ATN1","CDC6"
990,546,3.6245,0.4406,0.1645,3.7215,0.1959,0.1176,"ATRX","CDC6"
990,9031,3.5,0.4369,0.1603,3.6452,0.1934,0.116,"BAZ1B","CDC6"
990,7862,3.6562,0.4003,0.163,3.7188,0.1915,0.1149,"BRPF1","CDC6"
990,63035,3.5938,0.4462,0.1507,3.6562,0.1917,0.115,"BCORL1","CDC6"
990,54014,4.125,0.4245,0.2241,4.1719,0.2203,0.1322,"BRWD1","CDC6"
990,23476,3.6765,0.42,0.1572,3.7794,0.1954,0.1172,"BRD4","CDC6"
990,171023,3.6957,0.4542,0.176,3.788,0.2019,0.1211,"ASXL1","CDC6"
990,60,3.5886,0.4305,0.1595,3.6392,0.1968,0.1182,"ACTB","CDC6"
990,80816,3.4245,0.415,0.154,3.566,0.1887,0.1132,"ASXL3","CDC6"
990,54880,3.6269,0.4307,0.1554,3.7098,0.1914,0.1149,"BCOR","CDC6"
1020,254065,3.3462,0.4193,0.158,3.3846,0.1883,0.113,"BRWD3","CDK5"
1020,80816,3.6415,0.4146,0.1684,3.7075,0.1964,0.1179,"ASXL3","CDK5"
1020,54014,4.1154,0.3981,0.2241,4.2308,0.2204,0.1322,"BRWD1","CDK5"
1020,2186,3.7067,0.4227,0.172,3.8267,0.2057,0.1234,"BPTF","CDK5"
1020,990,3.6875,0.4544,0.1769,3.7344,0.2085,0.1251,"CDC6","CDK5"
1020,545,3.6905,0.4457,0.1814,3.7024,0.2094,0.1256,"ATR","CDK5"
1020,60,3.6013,0.4216,0.1719,3.6835,0.1973,0.1185,"ACTB","CDK5"
1020,546,3.5485,0.4145,0.1642,3.6498,0.192,0.1153,"ATRX","CDK5"
1020,8314,3.7661,0.4145,0.1723,3.9064,0.1996,0.1198,"BAP1","CDK5"
1020,63035,3.5714,0.3819,0.1508,3.6786,0.1865,0.1119,"BCORL1","CDK5"
1020,171023,3.6304,0.4187,0.1736,3.7663,0.1957,0.1174,"ASXL1","CDK5"
1020,55870,3.661,0.4309,0.1752,3.7458,0.2006,0.1203,"ASH1L","CDK5"
1020,54880,3.5907,0.4263,0.1682,3.6943,0.1964,0.1178,"BCOR","CDK5"
1020,1822,3.5579,0.4079,0.1668,3.7158,0.1951,0.1171,"ATN1","CDK5"
1020,55252,3.7174,0.4192,0.167,3.8478,0.2013,0.1208,"ASXL2","CDK5"
1020,23476,3.6765,0.4386,0.1759,3.7426,0.2066,0.124,"BRD4","CDK5"
1020,672,3.5241,0.4229,0.1704,3.5964,0.1966,0.1179,"BRCA1","CDK5"
1020,9031,3.5968,0.419,0.1699,3.7097,0.1981,0.1189,"BAZ1B","CDK5"
1020,51412,3.6456,0.3926,0.1723,3.8481,0.1946,0.1168,"ACTL6B","CDK5"
1020,57492,3.5548,0.4217,0.1676,3.6258,0.1959,0.1175,"ARID1B","CDK5"
1020,8289,3.4831,0.4028,0.159,3.573,0.1862,0.1117,"ARID1A","CDK5"
1020,196528,3.5534,0.417,0.1708,3.6602,0.1974,0.1184,"ARID2","CDK5"
1020,472,3.694,0.3908,0.1629,3.8731,0.1905,0.1143,"ATM","CDK5"
1020,23394,3.6488,0.4135,0.1687,3.744,0.1959,0.1175,"ADNP","CDK5"
1020,7862,3.5789,0.4404,0.1695,3.7895,0.2001,0.1201,"BRPF1","CDK5"
1105,546,3.6878,0.4235,0.1714,3.7806,0.1979,0.1188,"ATRX","CHD1"
1105,51412,3.7342,0.4517,0.192,3.8354,0.2112,0.1267,"ACTL6B","CHD1"
1105,545,3.6786,0.4251,0.1747,3.75,0.2012,0.1207,"ATR","CHD1"
1105,672,3.6807,0.4316,0.1708,3.7771,0.2027,0.1216,"BRCA1","CHD1"
1105,9031,3.5968,0.4274,0.1688,3.6452,0.1936,0.1162,"BAZ1B","CHD1"
1105,55252,3.6522,0.4536,0.185,3.8261,0.2099,0.126,"ASXL2","CHD1"
1105,23394,3.5952,0.4202,0.1773,3.6726,0.2003,0.1202,"ADNP","CHD1"
1105,10659,3.4677,0.3957,0.1774,3.5806,0.1939,0.1163,"CELF2","CHD1"
1105,254065,3.7037,0.4565,0.1891,3.7407,0.2103,0.1262,"BRWD3","CHD1"
1105,990,3.5156,0.4163,0.1725,3.6406,0.2,0.12,"CDC6","CHD1"
1105,1822,3.6947,0.4176,0.169,3.7895,0.1974,0.1185,"ATN1","CHD1"
1105,1020,3.3704,0.3967,0.1796,3.4074,0.1944,0.1166,"CDK5","CHD1"
1105,2186,3.5733,0.4268,0.1712,3.6667,0.1982,0.1189,"BPTF","CHD1"
1105,63035,3.1429,0.3906,0.1497,3.2143,0.1781,0.1068,"BCORL1","CHD1"
1105,7862,3.6316,0.4057,0.1676,3.7368,0.196,0.1176,"BRPF1","CHD1"
1105,57492,3.5226,0.4273,0.1749,3.5806,0.196,0.1176,"ARID1B","CHD1"
1105,472,3.6194,0.4144,0.1691,3.7015,0.1932,0.1159,"ATM","CHD1"
1105,171023,3.6685,0.4191,0.172,3.8152,0.1992,0.1195,"ASXL1","CHD1"
1105,196528,3.6408,0.4235,0.1759,3.6699,0.2011,0.1207,"ARID2","CHD1"
1105,54014,3.963,0.4214,0.2297,4,0.2197,0.1318,"BRWD1","CHD1"
1105,55870,3.3559,0.4106,0.1619,3.4576,0.1887,0.1132,"ASH1L","CHD1"
1105,60,3.6266,0.4335,0.1767,3.7468,0.2025,0.1216,"ACTB","CHD1"
1105,54880,3.6218,0.4269,0.1689,3.7358,0.198,0.1188,"BCOR","CHD1"
1105,8289,3.4944,0.4133,0.1743,3.5618,0.1975,0.1185,"ARID1A","CHD1"
1105,80816,3.6698,0.4368,0.1825,3.7547,0.203,0.1218,"ASXL3","CHD1"
1105,8314,3.6959,0.4112,0.1674,3.7719,0.1955,0.1173,"BAP1","CHD1"
1105,23476,3.6397,0.429,0.1706,3.7206,0.1964,0.1179,"BRD4","CHD1"
1106,7862,3.6622,0.4053,0.1895,3.7568,0.204,0.1224,"BRPF1","CHD2"
1106,545,3.7738,0.4108,0.1869,3.8929,0.2014,0.1209,"ATR","CHD2"
1106,55870,3.7838,0.433,0.1883,3.8919,0.2103,0.1262,"ASH1L","CHD2"
1106,51412,3.2911,0.3634,0.1606,3.519,0.177,0.1062,"ACTL6B","CHD2"
1106,2186,3.6667,0.4217,0.1753,3.7067,0.2002,0.1201,"BPTF","CHD2"
1106,8289,3.764,0.4401,0.2075,3.8876,0.2131,0.1279,"ARID1A","CHD2"
1106,10659,3.7568,0.4075,0.1968,3.9189,0.204,0.1224,"CELF2","CHD2"
1106,60,3.7152,0.4212,0.182,3.8924,0.202,0.1213,"ACTB","CHD2"
1106,54014,4.0676,0.3978,0.2267,4.2027,0.219,0.1314,"BRWD1","CHD2"
1106,63035,3.8514,0.4224,0.1799,3.9595,0.2052,0.1231,"BCORL1","CHD2"
1106,1822,3.7368,0.4123,0.1826,3.9368,0.2026,0.1215,"ATN1","CHD2"
1106,546,3.7468,0.4141,0.1778,3.8776,0.2017,0.1211,"ATRX","CHD2"
1106,8314,3.8187,0.4247,0.1865,3.9415,0.2079,0.1247,"BAP1","CHD2"
1106,9031,3.6828,0.4107,0.175,3.828,0.1988,0.1193,"BAZ1B","CHD2"
1106,57492,3.5677,0.4099,0.1729,3.6645,0.1962,0.1177,"ARID1B","CHD2"
1106,196528,3.8641,0.4276,0.1922,3.9806,0.2082,0.1249,"ARID2","CHD2"
1106,672,3.7892,0.4255,0.1896,3.8675,0.2079,0.1248,"BRCA1","CHD2"
1106,23476,3.7353,0.4187,0.1809,3.8529,0.2042,0.1225,"BRD4","CHD2"
1106,472,3.791,0.4148,0.1878,3.9403,0.2054,0.1232,"ATM","CHD2"
1106,23394,3.7321,0.4147,0.1864,3.8214,0.2015,0.1209,"ADNP","CHD2"
1106,254065,3.5811,0.4135,0.1851,3.7027,0.202,0.1212,"BRWD3","CHD2"
1106,990,3.6892,0.4218,0.1825,3.8108,0.2039,0.1223,"CDC6","CHD2"
1106,55252,3.7838,0.4181,0.1827,3.9054,0.2025,0.1215,"ASXL2","CHD2"
1106,1020,3.8378,0.4047,0.1841,3.9595,0.2054,0.1232,"CDK5","CHD2"
1106,80816,3.8585,0.44,0.1985,3.934,0.2112,0.1267,"ASXL3","CHD2"
1106,171023,3.7283,0.4093,0.1815,3.8207,0.2016,0.121,"ASXL1","CHD2"
1106,1105,3.6486,0.4052,0.1878,3.7838,0.2045,0.1227,"CHD1","CHD2"
1106,54880,3.772,0.4232,0.1815,3.8601,0.2023,0.1214,"BCOR","CHD2"
1107,8289,3.6966,0.4415,0.1747,3.7753,0.2002,0.1201,"ARID1A","CHD3"
1107,672,3.6807,0.4227,0.1613,3.8313,0.1948,0.1169,"BRCA1","CHD3"
1107,254065,3.4348,0.3893,0.146,3.5652,0.1829,0.1097,"BRWD3","CHD3"
1107,10659,3.629,0.4119,0.1753,3.7258,0.2003,0.1202,"CELF2","CHD3"
1107,80816,3.5849,0.4346,0.1642,3.6415,0.2007,0.1204,"ASXL3","CHD3"
1107,1020,3.6739,0.4337,0.179,3.7391,0.1997,0.1198,"CDK5","CHD3"
1107,546,3.6751,0.4186,0.1623,3.7722,0.1959,0.1176,"ATRX","CHD3"
1107,472,3.791,0.4233,0.1712,3.9179,0.201,0.1206,"ATM","CHD3"
1107,1105,3.6739,0.4206,0.1759,3.7609,0.2,0.12,"CHD1","CHD3"
1107,63035,3.587,0.4312,0.156,3.6957,0.1903,0.1142,"BCORL1","CHD3"
1107,1822,3.6421,0.4257,0.1574,3.7158,0.1923,0.1154,"ATN1","CHD3"
1107,23476,3.6544,0.4326,0.1674,3.7279,0.2003,0.1202,"BRD4","CHD3"
1107,8314,3.7427,0.4294,0.1706,3.8421,0.2018,0.1211,"BAP1","CHD3"
1107,51412,3.481,0.3838,0.1608,3.6329,0.1861,0.1117,"ACTL6B","CHD3"
1107,54880,3.6788,0.4211,0.1601,3.7513,0.1918,0.1151,"BCOR","CHD3"
1107,171023,3.8098,0.4161,0.1733,3.8913,0.1976,0.1186,"ASXL1","CHD3"
1107,55870,3.5593,0.3952,0.1574,3.6271,0.1868,0.1121,"ASH1L","CHD3"
1107,57492,3.8065,0.4443,0.1746,3.871,0.2029,0.1217,"ARID1B","CHD3"
1107,7862,3.4348,0.3984,0.1556,3.4783,0.1831,0.1098,"BRPF1","CHD3"
1107,2186,3.64,0.415,0.1628,3.7333,0.194,0.1164,"BPTF","CHD3"
1107,990,3.75,0.4393,0.1711,3.7812,0.2021,0.1212,"CDC6","CHD3"
1107,9031,3.6613,0.4295,0.1613,3.7527,0.196,0.1176,"BAZ1B","CHD3"
1107,23394,3.7083,0.4056,0.157,3.8036,0.1937,0.1162,"ADNP","CHD3"
1107,54014,4.0217,0.4342,0.2176,4.087,0.2247,0.1348,"BRWD1","CHD3"
1107,196528,3.7087,0.4289,0.1718,3.8155,0.1974,0.1185,"ARID2","CHD3"
1107,545,3.7976,0.4265,0.1711,3.8929,0.1991,0.1194,"ATR","CHD3"
1107,1106,3.6081,0.4182,0.1804,3.7432,0.2015,0.1209,"CHD2","CHD3"
1107,60,3.6899,0.4375,0.1684,3.8291,0.1989,0.1194,"ACTB","CHD3"
1107,55252,3.2826,0.3857,0.1496,3.3478,0.1828,0.1097,"ASXL2","CHD3"
1108,1105,3.575,0.4365,0.1631,3.7,0.1955,0.1173,"CHD1","CHD4"
1108,8314,3.6491,0.4286,0.1557,3.7193,0.1949,0.1169,"BAP1","CHD4"
1108,546,3.6034,0.4325,0.1532,3.6751,0.195,0.1171,"ATRX","CHD4"
1108,55252,3.2391,0.403,0.1421,3.2826,0.1756,0.1053,"ASXL2","CHD4"
1108,51412,3.5063,0.4305,0.1678,3.5443,0.1991,0.1195,"ACTL6B","CHD4"
1108,54880,3.4301,0.4293,0.1462,3.513,0.1883,0.113,"BCOR","CHD4"
1108,63035,3.325,0.4068,0.13,3.55,0.1833,0.11,"BCORL1","CHD4"
1108,2186,3.5467,0.4197,0.1346,3.6133,0.1836,0.1102,"BPTF","CHD4"
1108,171023,3.5652,0.4079,0.1536,3.6793,0.1871,0.1122,"ASXL1","CHD4"
1108,9031,3.4355,0.419,0.1445,3.543,0.1854,0.1113,"BAZ1B","CHD4"
1108,7862,3.2,0.3835,0.1424,3.25,0.1749,0.1049,"BRPF1","CHD4"
1108,10659,3.4839,0.4217,0.1624,3.6129,0.1902,0.1141,"CELF2","CHD4"
1108,1020,3.625,0.4249,0.1608,3.7,0.1951,0.1171,"CDK5","CHD4"
1108,472,3.597,0.4314,0.161,3.6866,0.1918,0.1151,"ATM","CHD4"
1108,55870,3.4407,0.4393,0.1552,3.4915,0.1924,0.1154,"ASH1L","CHD4"
1108,8289,3.5281,0.4649,0.1668,3.573,0.2029,0.1217,"ARID1A","CHD4"
1108,60,3.4494,0.4331,0.1494,3.538,0.1869,0.1123,"ACTB","CHD4"
1108,23476,3.4485,0.4218,0.1468,3.5221,0.1874,0.1124,"BRD4","CHD4"
1108,254065,3.775,0.4723,0.1703,3.8,0.2118,0.1271,"BRWD3","CHD4"
1108,80816,3.4528,0.4406,0.1552,3.5566,0.1919,0.1151,"ASXL3","CHD4"
1108,23394,3.5476,0.4421,0.1586,3.5952,0.1967,0.118,"ADNP","CHD4"
1108,1822,3.4526,0.4181,0.1469,3.5368,0.1815,0.1089,"ATN1","CHD4"
1108,57492,3.4258,0.4252,0.1509,3.5161,0.1884,0.113,"ARID1B","CHD4"
1108,54014,4.1,0.4327,0.2135,4.2,0.2161,0.1297,"BRWD1","CHD4"
1108,196528,3.6602,0.4392,0.1559,3.6893,0.1955,0.1173,"ARID2","CHD4"
1108,1106,3.4865,0.3993,0.1606,3.5676,0.1918,0.1151,"CHD2","CHD4"
1108,990,3.4688,0.4412,0.1551,3.5156,0.193,0.1158,"CDC6","CHD4"
1108,1107,3.4783,0.4175,0.1571,3.587,0.1869,0.1121,"CHD3","CHD4"
1108,545,3.5357,0.4302,0.1529,3.5833,0.1921,0.1152,"ATR","CHD4"
1108,672,3.5843,0.421,0.1481,3.6988,0.1926,0.1156,"BRCA1","CHD4"
1387,9031,3.5458,0.4182,0.1513,3.645,0.1887,0.1132,"BAZ1B","CREBBP"
1387,80816,3.6336,0.4284,0.1621,3.7252,0.195,0.117,"ASXL3","CREBBP"
1387,1108,3.542,0.4301,0.1589,3.6565,0.1951,0.1171,"CHD4","CREBBP"
1387,1106,3.7176,0.4027,0.1742,3.8397,0.1973,0.1184,"CHD2","CREBBP"
1387,472,3.5992,0.4127,0.164,3.7137,0.1928,0.1157,"ATM","CREBBP"
1387,286204,3.855,0.4292,0.1906,3.9695,0.2099,0.1259,"CRB2","CREBBP"
1387,23476,3.6221,0.4325,0.162,3.7176,0.1947,0.1168,"BRD4","CREBBP"
1387,60,3.5687,0.409,0.1595,3.6947,0.1908,0.1146,"ACTB","CREBBP"
1387,990,3.687,0.4276,0.1652,3.7748,0.1986,0.1192,"CDC6","CREBBP"
1387,196528,3.5687,0.4263,0.1633,3.6603,0.1934,0.116,"ARID2","CREBBP"
1387,63035,3.5115,0.4025,0.1468,3.6298,0.1855,0.1113,"BCORL1","CREBBP"
1387,8289,3.5954,0.4288,0.1683,3.687,0.1984,0.119,"ARID1A","CREBBP"
1387,546,3.7061,0.424,0.1648,3.8168,0.1946,0.1168,"ATRX","CREBBP"
1387,23394,3.687,0.4268,0.1667,3.7824,0.1957,0.1174,"ADNP","CREBBP"
1387,254065,3.4924,0.4266,0.1608,3.6031,0.195,0.117,"BRWD3","CREBBP"
1387,54014,4.0382,0.4175,0.2204,4.0954,0.2205,0.1323,"BRWD1","CREBBP"
1387,1020,3.6527,0.4182,0.1742,3.7595,0.1989,0.1193,"CDK5","CREBBP"
1387,171023,3.6527,0.4314,0.1675,3.7634,0.1974,0.1184,"ASXL1","CREBBP"
1387,55636,3.5153,0.4148,0.1615,3.6298,0.188,0.1128,"CHD7","CREBBP"
1387,55870,3.6489,0.4488,0.1734,3.6985,0.2029,0.1218,"ASH1L","CREBBP"
1387,1107,3.6985,0.4297,0.1676,3.8244,0.1977,0.1186,"CHD3","CREBBP"
1387,51412,3.5763,0.4214,0.1732,3.7214,0.1981,0.1188,"ACTL6B","CREBBP"
1387,26038,3.5115,0.4175,0.1577,3.584,0.1896,0.1138,"CHD5","CREBBP"
1387,10659,3.7023,0.4175,0.1816,3.7977,0.2015,0.1209,"CELF2","CREBBP"
1387,11113,3.6565,0.4277,0.1753,3.7748,0.1997,0.1198,"CIT","CREBBP"
1387,545,3.6718,0.4414,0.1723,3.771,0.1992,0.1195,"ATR","CREBBP"
1387,8314,3.8473,0.4347,0.1699,3.9427,0.2016,0.1209,"BAP1","CREBBP"
1387,55252,3.5573,0.4198,0.1576,3.6794,0.1925,0.1155,"ASXL2","CREBBP"
1387,7862,3.6985,0.4312,0.1742,3.7786,0.2041,0.1224,"BRPF1","CREBBP"
1387,1822,3.5763,0.429,0.1635,3.6908,0.197,0.1182,"ATN1","CREBBP"
1387,2186,3.7137,0.4378,0.1614,3.7824,0.1989,0.1193,"BPTF","CREBBP"
1387,672,3.6794,0.4431,0.1635,3.7519,0.1977,0.1186,"BRCA1","CREBBP"
1387,57680,3.6794,0.4315,0.1684,3.7481,0.198,0.1191,"CHD8","CREBBP"
1387,54880,3.5305,0.4183,0.1542,3.6489,0.1889,0.1133,"BCOR","CREBBP"
1387,1105,3.6374,0.4135,0.1705,3.7366,0.1974,0.1185,"CHD1","CREBBP"
1387,57492,3.6145,0.4332,0.1668,3.6985,0.1962,0.1177,"ARID1B","CREBBP"
1457,23394,3.5476,0.4191,0.1544,3.6607,0.19,0.114,"ADNP","CSNK2A1"
1457,55252,3.0625,0.3623,0.1278,3.2708,0.1636,0.0982,"ASXL2","CSNK2A1"
1457,60,3.4177,0.4113,0.1515,3.5127,0.1865,0.112,"ACTB","CSNK2A1"
1457,1822,3.6,0.4339,0.1545,3.7263,0.1943,0.1166,"ATN1","CSNK2A1"
1457,10659,3.371,0.3763,0.1463,3.5645,0.1826,0.1095,"CELF2","CSNK2A1"
1457,57492,3.5226,0.4376,0.1598,3.6194,0.1935,0.1161,"ARID1B","CSNK2A1"
1457,1107,3.5417,0.3967,0.1578,3.5833,0.1872,0.1123,"CHD3","CSNK2A1"
1457,1108,3.25,0.4079,0.1401,3.2917,0.1768,0.1061,"CHD4","CSNK2A1"
1457,11113,3.4792,0.4161,0.17,3.625,0.1952,0.1171,"CIT","CSNK2A1"
1457,546,3.6245,0.4086,0.1524,3.7511,0.1897,0.1139,"ATRX","CSNK2A1"
1457,55870,3.2542,0.3916,0.138,3.2881,0.1721,0.1033,"ASH1L","CSNK2A1"
1457,8314,3.6725,0.4297,0.1599,3.7953,0.1951,0.1171,"BAP1","CSNK2A1"
1457,1387,3.6183,0.4314,0.1626,3.7023,0.1958,0.1175,"CREBBP","CSNK2A1"
1457,8289,3.5618,0.4372,0.1575,3.6067,0.1937,0.1162,"ARID1A","CSNK2A1"
1457,472,3.709,0.4328,0.1666,3.8955,0.1995,0.1197,"ATM","CSNK2A1"
1457,672,3.5542,0.4231,0.1523,3.6807,0.191,0.1146,"BRCA1","CSNK2A1"
1457,990,3.4375,0.3915,0.14,3.6875,0.1807,0.1084,"CDC6","CSNK2A1"
1457,1106,3.7703,0.4136,0.1848,3.9189,0.2019,0.1211,"CHD2","CSNK2A1"
1457,254065,3.3958,0.3925,0.1425,3.4792,0.1793,0.1076,"BRWD3","CSNK2A1"
1457,2186,3.56,0.4347,0.149,3.6533,0.1907,0.1144,"BPTF","CSNK2A1"
1457,1105,3.7292,0.4524,0.1807,3.8125,0.2065,0.1239,"CHD1","CSNK2A1"
1457,7862,3.1875,0.3884,0.1399,3.3125,0.1735,0.1041,"BRPF1","CSNK2A1"
1457,9031,3.5215,0.4182,0.1478,3.6613,0.1879,0.1127,"BAZ1B","CSNK2A1"
1457,51412,3.443,0.4163,0.1658,3.5443,0.1931,0.1159,"ACTL6B","CSNK2A1"
1457,54880,3.4922,0.4206,0.1529,3.5699,0.1864,0.1118,"BCOR","CSNK2A1"
1457,54014,4.1667,0.4287,0.217,4.2708,0.2278,0.1367,"BRWD1","CSNK2A1"
1457,63035,3.5417,0.435,0.1455,3.6875,0.1895,0.1137,"BCORL1","CSNK2A1"
1457,1020,3.375,0.3788,0.153,3.4375,0.183,0.1098,"CDK5","CSNK2A1"
1457,196528,3.5049,0.395,0.1418,3.5922,0.1844,0.1107,"ARID2","CSNK2A1"
1457,545,3.5714,0.4338,0.1606,3.6429,0.1945,0.1167,"ATR","CSNK2A1"
1457,57680,3.7083,0.4421,0.1708,3.7396,0.1988,0.1197,"CHD8","CSNK2A1"
1457,286204,3.8333,0.4121,0.1821,3.8958,0.2048,0.1229,"CRB2","CSNK2A1"
1457,55636,3.5236,0.4192,0.1512,3.618,0.1898,0.1139,"CHD7","CSNK2A1"
1457,80816,3.434,0.4182,0.1467,3.5377,0.185,0.111,"ASXL3","CSNK2A1"
1457,171023,3.6196,0.4074,0.1557,3.6957,0.1889,0.1134,"ASXL1","CSNK2A1"
1457,23476,3.4853,0.4197,0.1476,3.5882,0.187,0.1122,"BRD4","CSNK2A1"
1457,26038,3.5625,0.4487,0.1567,3.6667,0.1907,0.1144,"CHD5","CSNK2A1"
1487,1106,3.6129,0.4159,0.1791,3.729,0.2038,0.1223,"CHD2","CTBP1"
